comment_id,author,date,chapter,heading_path,anchor_excerpt,reviewer_text,triage_category,triage_subsystem,triage_action,themes,fb_ll,sp,conformity_status,verdict_note,evidence_paths
76,Ovidiu  Lucian Coman,2026-05-07T15:28:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Riedersbach power station Site Profile / Human-Induced and Security-Relevant Hazards (HI),"Aircraft Crash (HI-01) - score 5.5/10 (MC 5.0-6.0), weight 0.0308, data quality high. Evidence: nearest airport 15.1 km; nearest flight path 12.5 km; airports w…","Conteaza tipul de aeroport, frecventa zborurilor, tipul de aeronave, orientarea pistelor, etc.  DAca devine factor important de avoidance trebuie colectate mai…",connector,data-connector,enrich-airport-class-traffic-runway-orientation-and-document-screening-stance,T5,FB-LL-03,"SP-F,SP-D",partially_implemented,SP-F enriched airport_class + runway_length_m (HI-01 preview is a no-op; data present). Rubric HI-01 still uses old AND-clause on nearest_airport_km / nearest_military_airfield_km; SP-D HI-01 v2 not yet authored to consume airport_class.,config/scoring_rubrics/hi_human_induced.yaml; audit/post_processing/hi01_preview/hi01_preview_report.md; report/output/feedback/plans/SP-F_connector_refinements.plan.md
77,Ovidiu  Lucian Coman,2026-05-07T15:30:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Riedersbach power station Site Profile / Human-Induced and Security-Relevant Hazards (HI),weight 0.0308,Ai folositt weight din EPRI?,weights,swing-weights,make-weight-basis-visible-per-criterion-in-rendered-profile,T1,FB-LL-09,"SP-B,SP-G",partially_implemented,EPRI weights config landed (config/epri/weights.yaml) and rubric YAMLs carry baseline/epri per-criterion factors with weight_basis_source citations. The --weight-basis flag is wired in the scoring CLI. Site-profile renderer not confirmed to print the basis on each criterion bullet.,config/epri/weights.yaml; config/scoring_rubrics/hi_human_induced.yaml; report/output/feedback/plans/SP-B_epri_weights.plan.md
79,Ovidiu  Lucian Coman,2026-05-07T15:32:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Riedersbach power station Site Profile / Human-Induced and Security-Relevant Hazards (HI) / Interpretation - Human-Induced and Security-Relevant Hazards (HI),12 airports of all classes sit inside the 30 km screening radius,Asta este screeining value pentru aeroporturi militare daca su8nt mai aproape se poate rafina dar trebuiesc mai multe date (screeiningul este intodeauna acoperi…,connector,data-connector,document-screening-vs-refined-stance-and-add-airport-class-fields,T5,FB-LL-03,"SP-F,SP-C",partially_implemented,Connector class fields enriched; the screening-radius wording in chapter 5 family interpretations may still need explicit reviewer-reconciled stance.,audit/post_processing/sp_f_log_replay/hi01_three_site_preview.md
92,Ovidiu  Lucian Coman,2026-05-07T16:09:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Timelkam power station Site Profile / Natural Hazards (NH),Geotechnical: Liquefaction (NH-03),De ce este scorul asa de jos? Daca susceptibility este low?,scoring,scoring-engine,re-band-NH-03-liquefaction-low-susceptibility-must-yield-high-score,T2,FB-LL-01,SP-D,implemented,"NH-03 [7,8] now matches liquefaction_suscept == 'low' and [9,10] matches 'very_low'/'none'.",config/scoring_rubrics/nh_natural_hazards.yaml
94,Ovidiu  Lucian Coman,2026-05-07T16:11:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Timelkam power station Site Profile / Natural Hazards (NH),Geotechnical: Slope Stability (NH-04),Score prea mic ca sa fie semnificativ trebuie sa afecteze amplsamentul nu la 1 km de amplasament si nu poate apare la un unghi de 10 grade,scoring,scoring-engine,re-band-NH-04-and-verify-mean-vs-max-aggregation-LL-019,T2,FB-LL-01,SP-D,implemented,"NH-04 [9,10] now matches slope_angle_deg < 1; rubric uses on-site mean slope per LL-019.",config/scoring_rubrics/nh_natural_hazards.yaml
95,Ovidiu  Lucian Coman,2026-05-07T16:13:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Timelkam power station Site Profile / Natural Hazards (NH),- score 5.5,Score prea mic – asta inseamna tasari mari sau cavitati in teren pe amplasament,scoring,scoring-engine,re-band-NH-05-subsidence-low-evidence-must-not-score-low,T2,FB-LL-01,SP-D,implemented,"NH-05 [9,10] favorable branch includes mining_void_distance_km is null (absent evidence = favorable).",config/scoring_rubrics/nh_natural_hazards.yaml
96,Ovidiu  Lucian Coman,2026-05-07T16:14:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Timelkam power station Site Profile / Natural Hazards (NH),5.0/10,Scor prea mic daca vulcanic hazard este neglijabil,scoring,scoring-engine,re-band-NH-06-volcanic-add-no-volcano-branch,T2,FB-LL-01,SP-D,implemented,"Volcanism (NH-07 in rubric; reviewer called it NH-06) [9,10] now matches nearest_volcano_km > 1000 OR null.",config/scoring_rubrics/nh_natural_hazards.yaml
97,Ovidiu  Lucian Coman,2026-05-07T16:15:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Timelkam power station Site Profile / Natural Hazards (NH),5.0/10,Asi spune score 10 – nu exista coastal flooding in Austria,scoring,scoring-engine,re-band-NH-07-coastal-flooding-add-no-coast-branch,T2,FB-LL-01,SP-D,implemented,"Coastal flooding (NH-08) [9,10] now includes country_is_landlocked == true favorable branch.",config/scoring_rubrics/nh_natural_hazards.yaml
99,Ovidiu  Lucian Coman,2026-05-07T16:16:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Timelkam power station Site Profile / Natural Hazards (NH),flood zone class: negligible,flood zone class: negligible?? Score prea mic,scoring,scoring-engine,re-band-NH-flood-zone-negligible-must-score-high,T2,FB-LL-01,SP-D,implemented,"River flooding (NH-09) [9,10] now matches flood_zone_class_500yr in ['none','negligible'] (rubric comment cites SP-F Ovidiu).",config/scoring_rubrics/nh_natural_hazards.yaml
100,Ovidiu  Lucian Coman,2026-05-07T16:17:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Timelkam power station Site Profile / Natural Hazards (NH),Extreme Precipitation (NH-11,valorile de precipitatii anuale sunt mici score prea mic,scoring,scoring-engine,re-band-NH-11-extreme-precipitation-low-values-favorable,T2,FB-LL-01,SP-D,not_implemented,"NH-11 still treats annual_precip 400-800 mm as the [9,10] band; low annual precipitation (e.g. Brăila 17 mm) scores low. extreme_precip_mm is declared as a db_field but not used in any sub-score band. Reviewer expected low extreme daily precipitation to be favorable. anchor_delta shows NH-11 unchanged at 4.0.",config/scoring_rubrics/nh_natural_hazards.yaml; audit/post_processing/scoring_rerun_runbook/anchor_delta.md
101,Ovidiu  Lucian Coman,2026-05-07T16:17:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Timelkam power station Site Profile / Natural Hazards (NH),score 5.0/10,scor prea mic – trebuie sa fii aproape de o padure sau vegetatie abundenta,scoring,scoring-engine,re-band-NH-13-wildfire-no-forest-must-score-high,T2,FB-LL-01,SP-D,implemented,"NH-13 [9,10] now matches combustible_veg_pct < 5 (no nearby forest = favorable).",config/scoring_rubrics/nh_natural_hazards.yaml
102,Ovidiu  Lucian Coman,2026-05-07T16:18:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Timelkam power station Site Profile / Natural Hazards (NH),Combined Hazards (NH-14),score prea mic in lipsa unor date care sa-l justifice,scoring,scoring-engine,re-band-NH-14-or-mark-unscored-when-no-supporting-data,T3,FB-LL-02,"SP-D,SP-E",implemented,NH-14 records 'unscored' when fewer than 5 underlying NH criteria resolved; renderer distinguishes unscored from pass-mark.,config/scoring_rubrics/nh_natural_hazards.yaml; src/scripts/_site_profile_markdown.py
105,Ovidiu  Lucian Coman,2026-05-07T16:22:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Timelkam power station Site Profile / Human-Induced and Security-Relevant Hazards (HI),"Aircraft Crash (HI-01) - score 5.5/10 (MC 5.0-6.0), weight 0.0308, data quality high. Evidence: nearest airport 21.8 km; nearest flight path 10.9 km; airports w…",scor pre mic fara sustinere de date,scoring,scoring-engine,re-band-HI-01-high-when-no-airport-and-fix-renderer,"T2,T3","FB-LL-01,FB-LL-02,FB-LL-08","SP-D,SP-E",partially_implemented,Renderer no longer asserts numeric score with 'values not in measurement tables' (SP-E landed). But the HI-01 high-band AND-clause (FB-LL-08) is NOT fixed; Timelkam HI-01 will still default to pass-mark when the favorable airport situation co-occurs with missing military airfield data.,config/scoring_rubrics/hi_human_induced.yaml; src/scripts/_site_profile_markdown.py; tests/scripts/test_site_profile_unscored_rendering.py
106,Ovidiu  Lucian Coman,2026-05-07T16:19:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Timelkam power station Site Profile / Human-Induced and Security-Relevant Hazards (HI),score 5.5/10,scor prea mic pentru proximitate cu un aeroport mic,scoring,scoring-engine,re-band-HI-01-airport-class-aware,"T5,T2",FB-LL-03,"SP-F,SP-D",partially_implemented,airport_class field populated; HI-01 v2 bands not yet authored.,config/scoring_rubrics/hi_human_induced.yaml; audit/post_processing/sp_f_log_replay/hi01_three_site_preview.md
107,Ovidiu  Lucian Coman,2026-05-07T16:20:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Timelkam power station Site Profile / Human-Induced and Security-Relevant Hazards (HI),Industrial Explosions (HI-02) - score 5.0/10,scor prea mic cind nu ai gasit date ca sa sustina,scoring,scoring-engine,re-band-HI-02-favorable-when-no-industrial-site-and-fix-renderer,T3,FB-LL-02,"SP-D,SP-E",implemented,HI-02 favorable-by-default branch landed; renderer distinguishes unscored / pass-mark / favorable.,config/scoring_rubrics/hi_human_induced.yaml; src/scripts/_site_profile_markdown.py
108,Ovidiu  Lucian Coman,2026-05-07T16:23:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Timelkam power station Site Profile / Human-Induced and Security-Relevant Hazards (HI),"transmitter type: mast.Other Nuclear Installations (HI-08) - score 5.0/10 (MC 5.0-5.0), weight 0.0132, data quality n/a. Evidence: values not in measurement tab…",scor prea mic,scoring,scoring-engine,re-band-HI-08-favorable-when-no-nuclear-installation-and-fix-renderer,T3,FB-LL-02,"SP-D,SP-E",implemented,"HI-08 [9,10] now matches nearest_nuclear_km > 100 OR (null AND hi08_search_completed); renderer fix landed.",config/scoring_rubrics/hi_human_induced.yaml; src/scripts/_site_profile_markdown.py
109,Ovidiu  Lucian Coman,2026-05-07T16:21:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Timelkam power station Site Profile / Human-Induced and Security-Relevant Hazards (HI),"Other Nuclear Installations (HI-08) - score 5.0/10 (MC 5.0-5.0), weight 0.0132, data quality n/a. Evidence: values not in measurement tables.",scor prea mic – in lipsa datelor,scoring,scoring-engine,re-band-HI-08-favorable-when-no-data-and-fix-renderer,T3,FB-LL-02,"SP-D,SP-E",implemented,Same as #108; HI-08 favorable-by-default + renderer.,config/scoring_rubrics/hi_human_induced.yaml
112,Ovidiu  Lucian Coman,2026-05-07T16:24:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Timelkam power station Site Profile / Radiological Impact and Emergency Planning (RI / EP),"Emergency Planning Feasibility (EP-01) - score 5.5/10 (MC 5.0-6.0), weight n/a, data quality high. Evidence: EP feasibility composite 44.0 /100; road sub-score…",scor prea mic,scoring,scoring-engine,re-band-EP-01-and-document-composite-derivation,T2,,"SP-D,SP-C",partially_implemented,"EP-01 rubric was re-banded with new score thresholds (>=85, >=70, >=55, >=40, >=30) and signed off in Phase 0.6. Timelkam composite of 44 now maps to [3,4] rather than the old 5.5 pass-mark - i.e. the score actually moves further from the reviewer's expectation of 'higher than 5.5'. The rubric change addresses the structural concern (no default 5.5) but does not lift Timelkam's specific value.",config/scoring_rubrics/ep_emergency_planning.yaml; report/output/feedback/plans/SP-D_band_proposals/EP-01.md
117,Ovidiu  Lucian Coman,2026-05-07T16:26:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Timelkam power station Site Profile / Non-Safety and Implementation Considerations (NS) / Interpretation - Non-Safety and Implementation Considerations (NS),Composite Score and Stability,scorurile trebuiesc revizuite – ai dat valori default in lipsa de date sau cind datele nu justifica scor mic. Asta explica partial scorul agregat mic si variati…,weights,scoring-engine,fix-default-renderer-bias-and-document-aggregation-weights,"T3,T1","FB-LL-02,FB-LL-09","SP-D,SP-E,SP-B",partially_implemented,Renderer no longer asserts a numeric score on the same line as 'values not in measurement tables' (SP-E acceptance landed). EPRI weight basis exists in config but per-criterion-bullet provenance in the rendered profile is not yet confirmed in the regenerated profiles.,src/scripts/_site_profile_markdown.py; tests/scripts/test_site_profile_unscored_rendering.py
119,Ovidiu  Lucian Coman,2026-05-07T16:28:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Timelkam power station Site Profile / Residual Risk Register,924,VOYGR 6 are poterea 6x77 New de unde ai scos 924? Cel cu 12 module nu a re Design Certification,data,qa-cross-check,fix-VOYGR6-capacity-narrative-from-924-to-462-and-add-cross-doc-lint,T7,FB-LL-06,SP-A,implemented,All '924 MWe' / 'VOYGR-12' narrative removed from 7 site profiles; cross_chapter_numeric_lint.py guards regression.,src/scripts/cross_chapter_numeric_lint.py; audit/conversations/2026-05-09_feedback-rework-execution.md
120,Ovidiu  Lucian Coman,2026-05-07T16:32:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Timelkam power station Site Profile / Residual Risk Register,25 km; military,If the military facility includes ammunition depot or firing polygons,connector,data-connector,enrich-military-installation-classification-depot-firing-polygon-flag,T5,FB-LL-03,SP-F,partially_implemented,"OSM military classification enriched (nearest_military_class, nearest_high_consequence_military_km) and applied via fix04 replay. Rubric HI-06 still uses legacy `military_type` enum, so the new classification is stored but not read by the rubric.",config/scoring_rubrics/hi_human_induced.yaml; audit/post_processing/hi06_fix04_preview/hi06_fix04_post_apply_verify.md
563,Ovidiu  Lucian Coman,2026-05-07T17:50:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Romania Country Profile / Family Strength and Weakness,"Military Installations (HI-06) - mean 0.20/10 across 22 scored sites (min 0.0, max 1.5).",Military facility if they do not include amo depot or firing polygons could be much closer without eclusion being activated.,connector,data-connector,enrich-military-installation-classification,T5,FB-LL-03,SP-F,partially_implemented,Same as #120; classification data landed for RO sites; rubric HI-06 not yet consuming it.,config/scoring_rubrics/hi_human_induced.yaml; audit/post_processing/hi06_fix04_preview/hi06_fix04_post_apply_verify.md
564,Ovidiu  Lucian Coman,2026-05-07T17:51:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Romania Country Profile / Family Strength and Weakness,"Population Density at EPZ Radii (RI-04) - mean 3.14/10 across 22 scored sites (min 1.5, max 7.5).",EPZ orientative distances are for screening. The real criteria according to CNCAN are based on does calculation for and feasibility of emergency plan implementa…,methodology,methodology-doc,document-RI-04-EPZ-as-screening-vs-CNCAN-dose-feasibility,T4,FB-LL-05,SP-C,implemented,EPZ-as-screening-vs-CNCAN-dose-feasibility documented in RI-04 rubric notes and methodology.,config/scoring_rubrics/ri_radiological.yaml; report/output/chapters/03_stage_2_site_selection.md
565,Ovidiu  Lucian Coman,2026-05-07T17:53:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Romania Country Profile / Family Strength and Weakness,"Grid Capacity Basic Filter (BF-01) - mean 3.43/10 across 22 scored sites (min 0.0, max 7.5).",This depends on how many modules you install.,clarification,scoring-engine,document-grid-capacity-per-module-or-flag-zone-vs-site-grain,,,"Phase 0.5,SP-C",partially_implemented,"BF-01 was removed from the composite per SP-F decision (rubric comment: 'BF-01 is no longer scored; NS-02 is the single grid-connection score'). The narrative implication of 'depends on how many modules' is partly addressed by the rubric note pointing to NuScale 77 MWe / VOYGR-6 462 MWe references, but no SMR-module-count modulation is explicit.",config/scoring_rubrics/nh_natural_hazards.yaml
568,Ovidiu  Lucian Coman,2026-05-07T17:54:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Romania Country Profile / Status Counts,Full pass: 3,In an early table you mention for Romania 1 site not 3 ??? explain,data,qa-cross-check,cross-chapter-reconciliation-romania-full-pass-count,T6,FB-LL-06,SP-A,implemented,Romania row in §4.1.1 reconciled with country-level full-pass count; cross_chapter_numeric_lint covers ROMANIA_FULL_PASS_RECONCILIATION.,report/output/chapters/04_results_and_findings.md; src/scripts/cross_chapter_numeric_lint.py
573,Ovidiu  Lucian Coman,2026-05-07T17:57:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Romania Country Profile / Braila power station Site Profile / Natural Hazards (NH),"Extreme Precipitation (NH-11) - score 4.0/10 (MC 4.0-4.0), weight 0.0132, data quality medium. Evidence: extreme daily precipitation 0.19 mm; mean annual precip…",Score too small – for the small average annual precipitation,scoring,scoring-engine,re-band-NH-11-extreme-precipitation-low-values-favorable,T2,FB-LL-01,SP-D,not_implemented,Same NH-11 limitation as #100; Brăila NH-11 score remained 4.0 in feedback_rerun_20260509.,config/scoring_rubrics/nh_natural_hazards.yaml; audit/post_processing/scoring_rerun_runbook/anchor_delta.md
574,Ovidiu  Lucian Coman,2026-05-07T17:57:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Romania Country Profile / Braila power station Site Profile / Natural Hazards (NH),"Forest/Wildfire (NH-13) - score 5.0/10 (MC 5.0-5.0), weight 0.0132, data quality n/a. Evidence: values not in measurement tables.",Score too small since Nuscalestandard design  is for Tornado of cat IV,scoring,scoring-engine,re-band-NH-13-or-NH-12-tornado-cat-IV-context,T2,"FB-LL-01,FB-LL-11",SP-D,needs_clarification,Reviewer references NuScale tornado cat IV on an NH-13 wildfire anchor; routed to SP-H clarification before re-banding (FB-LL-11).,report/output/feedback/plans/SP-H_backlog.plan.md
575,Ovidiu  Lucian Coman,2026-05-07T17:58:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Romania Country Profile / Braila power station Site Profile / Natural Hazards (NH),"Combined Hazards (NH-14) - score 5.0/10 (MC 5.0-5.0), weight 0.0132, data quality n/a. Evidence: values not in measurement tables.",Biased by low scoring where is not justified,scoring,scoring-engine,re-band-NH-14-or-mark-unscored,T3,FB-LL-02,"SP-D,SP-E",implemented,Same as #102; NH-14 records unscored rather than numeric default when underlying data is sparse.,config/scoring_rubrics/nh_natural_hazards.yaml
578,Ovidiu  Lucian Coman,2026-05-07T18:00:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Romania Country Profile / Braila power station Site Profile / Human-Induced and Security-Relevant Hazards (HI),"Aircraft Crash (HI-01) - score 5.5/10 (MC 5.0-6.0), weight 0.0308, data quality high. Evidence: nearest airport 22.2 km; nearest flight path 11.1 km; airports w…",Too low score – no major airports near by within 30 km,scoring,scoring-engine,re-band-HI-01-favorable-when-no-major-airport-within-30km,T2,"FB-LL-01,FB-LL-08",SP-D,not_implemented,"Brăila HI-01 'no major airport within 30 km' must score favorable, but rubric HI-01 [9,10] still uses the AND-clause 'nearest_airport_km > 30 and nearest_military_airfield_km > 60'; missing military airfield data still drops the site to pass-mark. SP-D HI-01 v2 explicitly deferred pending SP-F.",config/scoring_rubrics/hi_human_induced.yaml; report/output/feedback/plans/SP-D_rubric_bands.plan.md
579,Ovidiu  Lucian Coman,2026-05-07T18:00:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Romania Country Profile / Braila power station Site Profile / Human-Induced and Security-Relevant Hazards (HI),"Industrial Explosions (HI-02) - score 5.0/10 (MC 5.0-5.0), weight 0.0308, data quality high. Evidence: nearest industrial site 18.7 km.",Too low score,scoring,scoring-engine,re-band-HI-02-favorable-when-no-industrial-site-nearby,T2,FB-LL-01,SP-D,implemented,"HI-02 [9,10] now matches nearest_seveso_km > 20 OR (null AND hi02_search_completed) - favorable when search completed and nothing found.",config/scoring_rubrics/hi_human_induced.yaml
580,Ovidiu  Lucian Coman,2026-05-07T18:01:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Romania Country Profile / Braila power station Site Profile / Human-Induced and Security-Relevant Hazards (HI),"External Fires (HI-04) - score 5.0/10 (MC 5.0-5.0), weight 0.0264, data quality high. Evidence: values not in measurement tables.",Too low,scoring,scoring-engine,re-band-HI-04-external-fires-favorable-default-and-fix-renderer,T3,FB-LL-02,"SP-D,SP-E",implemented,"HI-04 [9,10] now matches nearest_flammable_storage_km > 15 OR (null AND hi04_search_completed).",config/scoring_rubrics/hi_human_induced.yaml
581,Ovidiu  Lucian Coman,2026-05-07T18:01:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Romania Country Profile / Braila power station Site Profile / Human-Induced and Security-Relevant Hazards (HI),"Transport Hazards (HI-05) - score 5.0/10 (MC 5.0-5.0), weight 0.0264, data quality n/a. Evidence: values not in measurement tables.",How can you assign low score without data?,scoring,scoring-engine,re-band-HI-05-transport-and-fix-renderer,T3,FB-LL-02,"SP-D,SP-E",implemented,"HI-05 [9,10] now matches nearest_hazmat_corridor_km > 10 OR (null AND hi05_search_completed); SP-F sentinel rework.",config/scoring_rubrics/hi_human_induced.yaml
582,Ovidiu  Lucian Coman,2026-05-07T18:02:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Romania Country Profile / Braila power station Site Profile / Human-Induced and Security-Relevant Hazards (HI),"Military Installations (HI-06) - score 1.5/10 (MC 1.0-2.0), weight 0.0264, data quality medium. Evidence: nearest military installation 8.86 km; military instal…",Depends on military installation (if no fire polygons and amo depot the score could be much higher),connector,data-connector,enrich-military-installation-classification-and-re-band-HI-06,T5,FB-LL-03,"SP-F,SP-D",partially_implemented,Brăila HI-06 classification data landed; rubric still scores from raw nearest_military_km.,config/scoring_rubrics/hi_human_induced.yaml; audit/post_processing/scoring_rerun_runbook/anchor_delta.md
583,Ovidiu  Lucian Coman,2026-05-07T18:03:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Romania Country Profile / Braila power station Site Profile / Human-Induced and Security-Relevant Hazards (HI),"Other Nuclear Installations (HI-08) - score 5.0/10 (MC 5.0-5.0), weight 0.0132, data quality n/a. Evidence: values not in measurement tables.",Based on what the score is so low? I have no idea about any nuclear installations around Braila are,scoring,scoring-engine,re-band-HI-08-favorable-when-no-nuclear-installation-fix-renderer,T3,FB-LL-02,"SP-D,SP-E",implemented,HI-08 favorable-by-default branch and renderer fix landed; same as #108/#109.,config/scoring_rubrics/hi_human_induced.yaml
